model_code,name,total_width,length,heatsink_height,flange_config,pdf,step_file
SCC010015200R,SmartSolar MPPT 100/15 Retail,113.9,100.7,0,C2,BlueSolar-&-Smartsolar-MPPT-100-15.pdf,
SCC110015060R,SmartSolar MPPT 100/15 Retail,113.9,100.7,0,C2,BlueSolar-&-Smartsolar-MPPT-100-15.pdf,
SCC010010050R,BlueSolar MPPT 75/10 Retail,112.9,99.7,0,C1,BlueSolar-&-SmartSolar-MPPT-75-10-&-75-15.pdf,
SCC010015050R,BlueSolar MPPT 75/15 Retail,112.9,99.7,0,C1,BlueSolar-&-SmartSolar-MPPT-75-10-&-75-15.pdf,
SCC075010060R,SmartSolar MPPT 75/10 Retail,112.9,99.7,0,C1,BlueSolar-&-SmartSolar-MPPT-75-10-&-75-15.pdf,
SCC075015060R,SmartSolar MPPT 75/15 Retail,112.9,99.7,0,C1,BlueSolar-&-SmartSolar-MPPT-75-10-&-75-15.pdf,
SCC110020070R,BlueSolar MPPT 100/20 Retail,131,91.7,23.3,A3,BlueSolar-SmartSolar-MPPT-100V20A-(Dimensions).pdf,
SCC110020170R,BlueSolar MPPT 100/20_48V Retail,131,91.7,23.3,A3,BlueSolar-SmartSolar-MPPT-100V20A-(Dimensions).pdf,
SCC110020060R,SmartSolar MPPT 100/20 Retail,131,91.7,23.3,A3,BlueSolar-SmartSolar-MPPT-100V20A-(Dimensions).pdf,
SCC110020160R,SmartSolar MPPT 100/20_48V Retail,131,91.7,23.3,A3,BlueSolar-SmartSolar-MPPT-100V20A-(Dimensions).pdf,
SCC020030200,BlueSolar MPPT 100/30,187,122,26.5,A1,BS-SS-MPPT-100-30.pdf,
SCC110030210,SmartSolar MPPT 100/30,187,122,26.5,A1,BS-SS-MPPT-100-30.pdf,
SCC020050200,BlueSolar MPPT 100/50,187,122,26.5,A1,BS-SS-MPPT-100-50-150-35-150-45.pdf,
SCC020035000,BlueSolar MPPT 150/35,187,122,26.5,A1,BS-SS-MPPT-100-50-150-35-150-45.pdf,
SCC115045222,BlueSolar MPPT 150/45,187,122,26.5,A1,BS-SS-MPPT-100-50-150-35-150-45.pdf,
SCC110050210,SmartSolar MPPT 100/50,187,122,26.5,A1,BS-SS-MPPT-100-50-150-35-150-45.pdf,
SCC115110211,SmartSolar MPPT 150/100-Tr,295,204,23.3,B1,SmartSolar-MPPT-150-250-85-100-Tr-(dimensions).pdf,
SCC115035210,SmartSolar MPPT 150/35,187,122,26.5,A1,BS-SS-MPPT-100-50-150-35-150-45.pdf,
SCC115045212,SmartSolar MPPT 150/45,187,122,26.5,A1,BS-SS-MPPT-100-50-150-35-150-45.pdf,
SCC115060210,SmartSolar MPPT 150/60-Tr,250,171,32.5,A4,DimensionDrawing-SmartSolar-150_60A-&-150_70-Tr.pdf,
SCC115070210,SmartSolar MPPT 150/70-Tr,250,171,32.5,A4,DimensionDrawing-SmartSolar-150_60A-&-150_70-Tr.pdf,
SCC115060310,SmartSolar MPPT 150/60-MC4,250,171,32.5,A4,DimensionDrawing-SmartSolar-150_60A-&-150_70-MC4.pdf,
SCC115070310,SmartSolar MPPT 150/70-MC4,250,171,32.5,A4,DimensionDrawing-SmartSolar-150_60A-&-150_70-MC4.pdf,
SCC115085211,SmartSolar MPPT 150/85-Tr,295,204,34.5,B1,SmartSolar-MPPT-150-250-85-100-Tr-(dimensions).pdf,
SCC115110311,SmartSolar MPPT 150/100-MC4,295,204,34.5,B1_MC4,SmartSolar-MPPT-150-250-85-100-MC4-VE.Can.pdf,
SCC115085311,SmartSolar MPPT 150/85-MC4,295,204,34.5,B1_MC4,SmartSolar-MPPT-150-250-85-100-MC4-VE.Can.pdf,
SCC125110210,SmartSolar MPPT 250/100-Tr,295,204,34.5,B1,SmartSolar-MPPT-150-250-85-100-Tr-(dimensions).pdf,
SCC125085210,SmartSolar MPPT 250/85-Tr,295,204,34.5,B1,SmartSolar-MPPT-150-250-85-100-Tr-(dimensions).pdf,
SCC125110310,SmartSolar MPPT 250/100-MC4,295,204,34.5,B1_MC4,SmartSolar-MPPT-150-250-85-100-MC4-VE.Can.pdf,
SCC125085310,SmartSolar MPPT 250/85-MC4,295,204,34.5,B1_MC4,SmartSolar-MPPT-150-250-85-100-MC4-VE.Can.pdf,
SCC115085411/412 ,SmartSolar MPPT 150/85-Tr VE.Can,294.6,203.5,23.3,B2,DimensionDrawing-SS-MPPT-Tr-VE.Can-(XL).pdf,
SCC115110410/411 ,SmartSolar MPPT 150/100-Tr VE.Can,294.6,203.5,23.3,B2,DimensionDrawing-SS-MPPT-Tr-VE.Can-(XL).pdf,
SCC115110420 ,BlueSolar MPPT 150/100-Tr VE.Can,294.6,203.5,23.3,B2,DimensionDrawing-SS-MPPT-Tr-VE.Can-(XL).pdf,
SCC125085411 ,SmartSolar MPPT 250/85-Tr VE.Can,294.6,203.5,23.3,B2,DimensionDrawing-SS-MPPT-Tr-VE.Can-(XL).pdf,
SCC125110411/412 ,SmartSolar MPPT 250/100-Tr VE.Can,294.6,203.5,23.3,B2,DimensionDrawing-SS-MPPT-Tr-VE.Can-(XL).pdf,
SCC125110441,BlueSolar MPPT 250/100-Tr VE.Can,294.6,203.5,23.3,B2,DimensionDrawing-SS-MPPT-Tr-VE.Can-(XL).pdf,
SCC125060221,SmartSolar MPPT 250/60-Tr,248.5,170.7,23.3,B3,SmartSolar-MPPT-250V-60-70-Tr.pdf,
SCC125070220,SmartSolar MPPT 250/70-Tr,248.5,170.7,23.3,B3,SmartSolar-MPPT-250V-60-70-Tr.pdf,
